Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-1;1;P; Studio Consulting Sp. z o.o.;ul. Romanowska 55F, 91-174 Łódź;964
10;106101-2;2;P;Świetlica Ochotniczej Straży Pożarnej Łódź-Mikołajew;ul. Plonowa 18, 91-156 Łódź;1940
10;106101-3;3;P;Świetlica Ochotniczej Straży Pożarnej Łódź-Mikołajew;ul. Plonowa 18, 91-156 Łódź;553
10;106101-4;4;P;XV Liceum Ogólnokształcące im. Jana Kasprowicza;ul. Traktorowa 77, 91-204 Łódź;1016
10;106101-5;5;P;Laboratorium Produkcji Ogrodniczej w Zespole Szkół Rzemiosła im. Jana Kilińskiego;ul. Liściasta 181, 91-220 Łódź;865
10;106101-6;6;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;871
10;106101-7;7;P;Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza;ul. Rojna 58C, 91-134 Łódź;1184
10;106101-8;8;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1275
10;106101-9;9;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1156
10;106101-10;10;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1791
10;106101-11;11;P;Publiczne Gimnazjum nr 13 im. gen. Józefa Bema;ul. Wici 16, 91-213 Łódź;1820
10;106101-12;12;P;Publiczne Gimnazjum nr 13 im. gen. Józefa Bema;ul. Wici 16, 91-213 Łódź;1410
10;106101-13;13;P;Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza;ul. Rojna 58C, 91-134 Łódź;1675
10;106101-14;14;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1572
10;106101-15;15;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1159
10;106101-16;16;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1223
10;106101-17;17;P;"Szkoła Podstawowa nr 3 im. mjr. Henryka Dobrzańskiego ""Hubala""";al. Harcerzy Zatorowców 6, 91-144 Łódź;1400
10;106101-18;18;P;"Szkoła Podstawowa nr 3 im. mjr. Henryka Dobrzańskiego ""Hubala""";al. Harcerzy Zatorowców 6, 91-144 Łódź;1477
10;106101-19;19;P;Przedszkole Miejskie nr 141;al. Pasjonistów 15, 91-140 Łódź;1997
10;106101-20;20;P;Przedszkole Miejskie nr 123;ul. Rojna 24, 91-134 Łódź;1215
10;106101-21;21;P;Dom Dziennego Pobytu dla Osób Niepełnosprawnych;ul. Rojna 18a, 91-128 Łódź;1436
10;106101-22;22;P;Przedszkole Miejskie nr 123;ul. Rojna 24, 91-134 Łódź;927
10;106101-23;23;P;"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki""";ul. Łanowa 16, 91-103 Łódź;1492
10;106101-24;24;P;"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki""";ul. Łanowa 16, 91-103 Łódź;1689
10;106101-25;25;P;"Bałucki Ośrodek Kultury ""Lutnia""";ul. Łanowa 14, 91-103 Łódź;1346
10;106101-26;26;P;Publiczne Gimnazjum nr 17 im. Bohaterów Monte Cassino;ul. Traktorowa 35, 91-117 Łódź;1844
10;106101-27;27;P;Zespół Szkół Specjalnych nr 5;ul. Plantowa 7, 91-104 Łódź;2124
10;106101-28;28;P;Szkoła Policealna nr 2 Samorządu Województwa Łódzkiego im. Marii Skłodowskiej-Curie;ul. Wielkopolska 70/72, 91-029 Łódź;1171
10;106101-29;29;P;Szkoła Policealna nr 2 Samorządu Województwa Łódzkiego im. Marii Skłodowskiej-Curie;ul. Wielkopolska 70/72, 91-029 Łódź;1745
10;106101-30;30;P;Szkoła Podstawowa nr 56 im. Bronisława Czecha;ul. Turoszowska 10, 91-025 Łódź;1523
10;106101-31;31;P;Szkoła Podstawowa nr 56 im. Bronisława Czecha;ul. Turoszowska 10, 91-025 Łódź;867
10;106101-32;32;P;Publiczne Gimnazjum nr 8 im. Tadeusza Kościuszki;ul. Żubardzka 26, 91-032 Łódź;1520
10;106101-33;33;P;Publiczne Gimnazjum nr 8 im. Tadeusza Kościuszki;ul. Żubardzka 26, 91-032 Łódź;1705
