okregowaId[1-51];obwodId;obwodNr;obwodTyp;obwodName;obwodAddress;allowedToVote
14;106104-1;1;P;Lokal wyborczy Polesie Nr. 1;ul. Romanowska 1-1 91-174 Łódź-Polesie;616
14;106104-2;2;P;Lokal wyborczy Polesie Nr. 2;ul. Romanowska 1-2 91-174 Łódź-Polesie;117
14;106104-3;3;P;Lokal wyborczy Polesie Nr. 3;ul. Romanowska 1-3 91-174 Łódź-Polesie;2460
14;106104-4;4;P;Lokal wyborczy Polesie Nr. 4;ul. Romanowska 1-4 91-174 Łódź-Polesie;1817
14;106104-5;5;P;Lokal wyborczy Polesie Nr. 5;ul. Romanowska 1-5 91-174 Łódź-Polesie;2976
14;106104-6;6;P;Lokal wyborczy Polesie Nr. 6;ul. Romanowska 1-6 91-174 Łódź-Polesie;2699
14;106104-7;7;P;Lokal wyborczy Polesie Nr. 7;ul. Romanowska 1-7 91-174 Łódź-Polesie;1351
14;106104-8;8;P;Lokal wyborczy Polesie Nr. 8;ul. Romanowska 1-8 91-174 Łódź-Polesie;1308
14;106104-9;9;P;Lokal wyborczy Polesie Nr. 9;ul. Romanowska 1-9 91-174 Łódź-Polesie;955
14;106104-10;10;P;Lokal wyborczy Polesie Nr. 10;ul. Romanowska 1-10 91-174 Łódź-Polesie;294
14;106104-11;11;P;Lokal wyborczy Polesie Nr. 11;ul. Romanowska 1-11 91-174 Łódź-Polesie;879
14;106104-12;12;P;Lokal wyborczy Polesie Nr. 12;ul. Romanowska 1-12 91-174 Łódź-Polesie;1620
14;106104-13;13;P;Lokal wyborczy Polesie Nr. 13;ul. Romanowska 1-13 91-174 Łódź-Polesie;2897
14;106104-14;14;P;Lokal wyborczy Polesie Nr. 14;ul. Romanowska 1-14 91-174 Łódź-Polesie;2056
14;106104-15;15;P;Lokal wyborczy Polesie Nr. 15;ul. Romanowska 1-15 91-174 Łódź-Polesie;2924
14;106104-16;16;P;Lokal wyborczy Polesie Nr. 16;ul. Romanowska 1-16 91-174 Łódź-Polesie;1611
14;106104-17;17;P;Lokal wyborczy Polesie Nr. 17;ul. Romanowska 1-17 91-174 Łódź-Polesie;359
14;106104-18;18;P;Lokal wyborczy Polesie Nr. 18;ul. Romanowska 1-18 91-174 Łódź-Polesie;842
14;106104-19;19;P;Lokal wyborczy Polesie Nr. 19;ul. Romanowska 1-19 91-174 Łódź-Polesie;1860
14;106104-20;20;P;Lokal wyborczy Polesie Nr. 20;ul. Romanowska 1-20 91-174 Łódź-Polesie;1316
14;106104-21;21;P;Lokal wyborczy Polesie Nr. 21;ul. Romanowska 1-21 91-174 Łódź-Polesie;828
14;106104-22;22;P;Lokal wyborczy Polesie Nr. 22;ul. Romanowska 1-22 91-174 Łódź-Polesie;1462
14;106104-23;23;P;Lokal wyborczy Polesie Nr. 23;ul. Romanowska 1-23 91-174 Łódź-Polesie;2893
14;106104-24;24;P;Lokal wyborczy Polesie Nr. 24;ul. Romanowska 1-24 91-174 Łódź-Polesie;1023
14;106104-25;25;P;Lokal wyborczy Polesie Nr. 25;ul. Romanowska 1-25 91-174 Łódź-Polesie;1821
14;106104-26;26;P;Lokal wyborczy Polesie Nr. 26;ul. Romanowska 1-26 91-174 Łódź-Polesie;1144
14;106104-27;27;P;Lokal wyborczy Polesie Nr. 27;ul. Romanowska 1-27 91-174 Łódź-Polesie;1603
14;106104-28;28;P;Lokal wyborczy Polesie Nr. 28;ul. Romanowska 1-28 91-174 Łódź-Polesie;1735
14;106104-29;29;P;Lokal wyborczy Polesie Nr. 29;ul. Romanowska 1-29 91-174 Łódź-Polesie;2324
14;106104-30;30;P;Lokal wyborczy Polesie Nr. 30;ul. Romanowska 1-30 91-174 Łódź-Polesie;278
14;106104-31;31;P;Lokal wyborczy Polesie Nr. 31;ul. Romanowska 1-31 91-174 Łódź-Polesie;857
14;106104-32;32;P;Lokal wyborczy Polesie Nr. 32;ul. Romanowska 1-32 91-174 Łódź-Polesie;1589
14;106104-33;33;P;Lokal wyborczy Polesie Nr. 33;ul. Romanowska 1-33 91-174 Łódź-Polesie;2657
14;106104-34;34;P;Lokal wyborczy Polesie Nr. 34;ul. Romanowska 1-34 91-174 Łódź-Polesie;793
14;106104-35;35;P;Lokal wyborczy Polesie Nr. 35;ul. Romanowska 1-35 91-174 Łódź-Polesie;2116
14;106104-36;36;P;Lokal wyborczy Polesie Nr. 36;ul. Romanowska 1-36 91-174 Łódź-Polesie;507
14;106104-37;37;P;Lokal wyborczy Polesie Nr. 37;ul. Romanowska 1-37 91-174 Łódź-Polesie;1608
14;106104-38;38;P;Lokal wyborczy Polesie Nr. 38;ul. Romanowska 1-38 91-174 Łódź-Polesie;1557
14;106104-39;39;P;Lokal wyborczy Polesie Nr. 39;ul. Romanowska 1-39 91-174 Łódź-Polesie;2831
14;106104-40;40;P;Lokal wyborczy Polesie Nr. 40;ul. Romanowska 1-40 91-174 Łódź-Polesie;727
14;106104-41;41;P;Lokal wyborczy Polesie Nr. 41;ul. Romanowska 1-41 91-174 Łódź-Polesie;1878
14;106104-42;42;P;Lokal wyborczy Polesie Nr. 42;ul. Romanowska 1-42 91-174 Łódź-Polesie;1164
14;106104-43;43;P;Lokal wyborczy Polesie Nr. 43;ul. Romanowska 1-43 91-174 Łódź-Polesie;1989
14;106104-44;44;P;Lokal wyborczy Polesie Nr. 44;ul. Romanowska 1-44 91-174 Łódź-Polesie;1846
14;106104-45;45;P;Lokal wyborczy Polesie Nr. 45;ul. Romanowska 1-45 91-174 Łódź-Polesie;442
14;106104-46;46;P;Lokal wyborczy Polesie Nr. 46;ul. Romanowska 1-46 91-174 Łódź-Polesie;2414
14;106104-47;47;P;Lokal wyborczy Polesie Nr. 47;ul. Romanowska 1-47 91-174 Łódź-Polesie;1366
14;106104-48;48;P;Lokal wyborczy Polesie Nr. 48;ul. Romanowska 1-48 91-174 Łódź-Polesie;486
14;106104-49;49;P;Lokal wyborczy Polesie Nr. 49;ul. Romanowska 1-49 91-174 Łódź-Polesie;1497
14;106104-50;50;P;Lokal wyborczy Polesie Nr. 50;ul. Romanowska 1-50 91-174 Łódź-Polesie;635
14;106104-51;51;P;Lokal wyborczy Polesie Nr. 51;ul. Romanowska 1-51 91-174 Łódź-Polesie;2239
14;106104-52;52;P;Lokal wyborczy Polesie Nr. 52;ul. Romanowska 1-52 91-174 Łódź-Polesie;2645
14;106104-53;53;P;Lokal wyborczy Polesie Nr. 53;ul. Romanowska 1-53 91-174 Łódź-Polesie;1626
14;106104-54;54;P;Lokal wyborczy Polesie Nr. 54;ul. Romanowska 1-54 91-174 Łódź-Polesie;2257
14;106104-55;55;P;Lokal wyborczy Polesie Nr. 55;ul. Romanowska 1-55 91-174 Łódź-Polesie;2411
14;106104-56;56;P;Lokal wyborczy Polesie Nr. 56;ul. Romanowska 1-56 91-174 Łódź-Polesie;2991
14;106104-57;57;P;Lokal wyborczy Polesie Nr. 57;ul. Romanowska 1-57 91-174 Łódź-Polesie;2976
14;106104-58;58;P;Lokal wyborczy Polesie Nr. 58;ul. Romanowska 1-58 91-174 Łódź-Polesie;2787
14;106104-59;59;P;Lokal wyborczy Polesie Nr. 59;ul. Romanowska 1-59 91-174 Łódź-Polesie;729
14;106104-60;60;P;Lokal wyborczy Polesie Nr. 60;ul. Romanowska 1-60 91-174 Łódź-Polesie;2801
14;106104-61;61;P;Lokal wyborczy Polesie Nr. 61;ul. Romanowska 1-61 91-174 Łódź-Polesie;766
14;106104-62;62;P;Lokal wyborczy Polesie Nr. 62;ul. Romanowska 1-62 91-174 Łódź-Polesie;1688
14;106104-63;63;P;Lokal wyborczy Polesie Nr. 63;ul. Romanowska 1-63 91-174 Łódź-Polesie;2781
14;106104-64;64;P;Lokal wyborczy Polesie Nr. 64;ul. Romanowska 1-64 91-174 Łódź-Polesie;857
14;106104-65;65;P;Lokal wyborczy Polesie Nr. 65;ul. Romanowska 1-65 91-174 Łódź-Polesie;1718
14;106104-66;66;P;Lokal wyborczy Polesie Nr. 66;ul. Romanowska 1-66 91-174 Łódź-Polesie;1814
14;106104-67;67;P;Lokal wyborczy Polesie Nr. 67;ul. Romanowska 1-67 91-174 Łódź-Polesie;2146
14;106104-68;68;P;Lokal wyborczy Polesie Nr. 68;ul. Romanowska 1-68 91-174 Łódź-Polesie;663
14;106104-69;69;P;Lokal wyborczy Polesie Nr. 69;ul. Romanowska 1-69 91-174 Łódź-Polesie;1124
14;106104-70;70;P;Lokal wyborczy Polesie Nr. 70;ul. Romanowska 1-70 91-174 Łódź-Polesie;132
14;106104-71;71;P;Lokal wyborczy Polesie Nr. 71;ul. Romanowska 1-71 91-174 Łódź-Polesie;841
14;106104-72;72;P;Lokal wyborczy Polesie Nr. 72;ul. Romanowska 1-72 91-174 Łódź-Polesie;24
14;106104-73;73;P;Lokal wyborczy Polesie Nr. 73;ul. Romanowska 1-73 91-174 Łódź-Polesie;1583
14;106104-74;74;P;Lokal wyborczy Polesie Nr. 74;ul. Romanowska 1-74 91-174 Łódź-Polesie;2469
14;106104-75;75;P;Lokal wyborczy Polesie Nr. 75;ul. Romanowska 1-75 91-174 Łódź-Polesie;343
14;106104-76;76;P;Lokal wyborczy Polesie Nr. 76;ul. Romanowska 1-76 91-174 Łódź-Polesie;2477
14;106104-77;77;P;Lokal wyborczy Polesie Nr. 77;ul. Romanowska 1-77 91-174 Łódź-Polesie;1779
14;106104-78;78;P;Lokal wyborczy Polesie Nr. 78;ul. Romanowska 1-78 91-174 Łódź-Polesie;2494
14;106104-79;79;P;Lokal wyborczy Polesie Nr. 79;ul. Romanowska 1-79 91-174 Łódź-Polesie;658
14;106104-80;80;P;Lokal wyborczy Polesie Nr. 80;ul. Romanowska 1-80 91-174 Łódź-Polesie;1494
14;106104-81;81;P;Lokal wyborczy Polesie Nr. 81;ul. Romanowska 1-81 91-174 Łódź-Polesie;2859
14;106104-82;82;P;Lokal wyborczy Polesie Nr. 82;ul. Romanowska 1-82 91-174 Łódź-Polesie;674
14;106104-83;83;P;Lokal wyborczy Polesie Nr. 83;ul. Romanowska 1-83 91-174 Łódź-Polesie;527
14;106104-84;84;P;Lokal wyborczy Polesie Nr. 84;ul. Romanowska 1-84 91-174 Łódź-Polesie;1498
