pkwId;numer i siedziba;województwo;powiaty;Miasta na prawach powiatu
1;Okręgowa Komisja Wyborcza Nr 1 we Wrocławiu;dolnośląskie;milicki,oleśnicki,oławski,strzeliński,średzki,trzebnicki,wołowski,wrocławski;Wrocław
2;Okręgowa Komisja Wyborcza Nr 2 w Jeleniej Górze;dolnośląskie;bolesławiecki,jeleniogórski,kamiennogórski,lubański,lwówecki,zgorzelecki;Jelenia Góra
3;Okręgowa Komisja Wyborcza Nr 3 w Legnicy;dolnośląskie;głogowski,górowski,jaworski,legnicki,lubiński,polkowicki,złotoryjski;Legnica
4;Okręgowa Komisja Wyborcza Nr 4 w Wałbrzychu;dolnośląskie;dzierżoniowski,kłodzki,świdnicki,wałbrzyski,ząbkowicki;Wałbrzych
5;Okręgowa Komisja Wyborcza Nr 5 w Bydgoszczy;kujawsko-pomorskie;bydgoski,inowrocławski,mogileński,nakielski,sępoleński,świecki,tucholski,żniński;Bydgoszcz
6;Okręgowa Komisja Wyborcza Nr 6 w Toruniu;kujawsko-pomorskie;brodnicki,chełmiński,golubsko-dobrzyński,grudziądzki,toruński,wąbrzeski;Grudziądz,Toruń
7;Okręgowa Komisja Wyborcza Nr 7 we Włocławku;kujawsko-pomorskie;aleksandrowski,lipnowski,radziejowski,rypiński,włocławski;Włocławek
8;Okręgowa Komisja Wyborcza Nr 8 w Lublinie;lubelskie;kraśnicki,lubartowski,lubelski,łęczyński,opolski,puławski,rycki,świdnicki;Lublin
9;Okręgowa Komisja Wyborcza Nr 9 w Białej Podlaskiej;lubelskie;bialski,łukowski,parczewski,radzyński;Biała Podlaska
10;Okręgowa Komisja Wyborcza Nr 10 w Chełmie;lubelskie;chełmski,krasnostawski,włodawski;Chełm
11;Okręgowa Komisja Wyborcza Nr 11 w Zamościu;lubelskie;biłgorajski,hrubieszowski,janowski,tomaszowski,zamojski;Zamość
12;Okręgowa Komisja Wyborcza Nr 12 w Zielonej Górze;lubuskie;krośnieński,nowosolski,świebodziński,wschowski,zielonogórski,żagański,żarski;Zielona Góra
13;Okręgowa Komisja Wyborcza Nr 13 w Gorzowie Wielkopolskim;lubuskie;gorzowski,międzyrzecki,słubicki,strzelecko-drezdenecki,sulęciński;Gorzów Wielkopolski
14;Okręgowa Komisja Wyborcza Nr 14 w Łodzi;łódzkie;brzeziński,łódzki wschodni,pabianicki,zgierski;Łódź
15;Okręgowa Komisja Wyborcza Nr 15 w Piotrkowie Trybunalskim;łódzkie;bełchatowski,opoczyński,piotrkowski,radomszczański,tomaszowski;Piotrków Trybunalski
